Wall time,Step,Value
1599326235,83,0.055909697
1599326241,84,0.048816584
1599326246,85,0.048390329
1599326252,86,0.047087677
1599326258,87,0.04690861
1599326264,88,0.057164583
1599326270,89,0.050056923
1599326275,90,0.046515021
1599326282,91,0.047549896
1599326288,92,0.044356912
1599326294,93,0.047212608
1599326300,94,0.048457388
1599326305,95,0.048101299
1599326311,96,0.045617085
1599326317,97,0.046743896
1599326323,98,0.046658799
1599326329,99,0.055039346
1599326334,100,0.051027346
1599326341,101,0.045759026
1599326347,102,0.044864397
1599326353,103,0.04823317
1599326358,104,0.04370429
1599326364,105,0.042450503
1599326370,106,0.04668317
1599326375,107,0.047171343
1599326381,108,0.044870917
1599326387,109,0.046980493
1599326393,110,0.043099646
1599326400,111,0.046031002
1599326406,112,0.044185542
1599326411,113,0.048513509
1599326417,114,0.044637829
1599326423,115,0.044296548
1599326429,116,0.041980334
1599326434,117,0.043990057
1599326440,118,0.047636867
1599326446,119,0.043800935
1599326452,120,0.042267866
1599326459,121,0.044049364
1599326465,122,0.044589315
1599326470,123,0.044250514
1599326476,124,0.042518463
1599326482,125,0.044096261
1599326487,126,0.048494909
1599326493,127,0.042220928
1599326499,128,0.045127738
1599326505,129,0.043044358
1599326511,130,0.042461324
1599326518,131,0.044374924
1599326523,132,0.04169431
1599326529,133,0.041572284
1599326535,134,0.042051345
1599326541,135,0.04404851
1599326546,136,0.040462308
1599326552,137,0.041473348
1599326558,138,0.048020668
1599326564,139,0.041952543
1599326569,140,0.043913007
1599326576,141,0.042089842
1599326582,142,0.040687721
1599326588,143,0.04106015
1599326594,144,0.040740762
1599326599,145,0.042470057
1599326605,146,0.078113355
1599326611,147,0.053653952
1599326616,148,0.043850571
1599326622,149,0.041647457
1599326628,150,0.041941047
1599326635,151,0.039589893
1599326641,152,0.041876465
1599326646,153,0.040579379
1599326652,154,0.040012781
1599326658,155,0.040348809
1599326664,156,0.040876087
1599326669,157,0.039866477
1599326675,158,0.039311379
1599326681,159,0.040601201
1599326687,160,0.041457295
1599326694,161,0.040462043
1599326700,162,0.038098007
1599326705,163,0.03884792
1599326711,164,0.040841348
1599326717,165,0.038735144
1599326722,166,0.037716642
1599326728,167,0.039611496
1599326734,168,0.039007995
1599326740,169,0.040791895
1599326745,170,0.040228087
1599326752,171,0.040762998
1599326758,172,0.041285966
1599326764,173,0.038995784
1599326769,174,0.039464004
1599326775,175,0.039619744
1599326781,176,0.039934263
1599326787,177,0.039744098
1599326792,178,0.037058912
1599326798,179,0.039004188
1599326804,180,0.037019193
1599326811,181,0.040403973
1599326817,182,0.038520005
1599326823,183,0.037715539
1599326828,184,0.038143989
1599326834,185,0.038851168
1599326840,186,0.041146465
1599326845,187,0.037068885
1599326851,188,0.038311716
1599326857,189,0.038302075
1599326863,190,0.038041927
1599326870,191,0.037840627
1599326876,192,0.037467316
1599326881,193,0.038602062
1599326887,194,0.037572734
1599326893,195,0.038264953
1599326899,196,0.037526235
1599326904,197,0.037314013
1599326910,198,0.037018385
1599326916,199,0.0384527
1599326922,200,0.036712307
1599326929,201,0.037404172
1599326935,202,0.037962098
1599326940,203,0.036829434
1599326946,204,0.039840478
1599326952,205,0.037492361
1599326958,206,0.037183367
1599326964,207,0.039161839
1599326969,208,0.037090302
1599326975,209,0.035887625
1599326981,210,0.036874048
1599326988,211,0.036647148
1599326994,212,0.037593
1599326999,213,0.037163951
1599327005,214,0.03766923
1599327011,215,0.037051208
1599327017,216,0.037480563
1599327022,217,0.036065146
1599327028,218,0.037237704
1599327034,219,0.035554826
1599327039,220,0.034954324
1599327047,221,0.037563365
1599327052,222,0.039454546
1599327058,223,0.037489537
1599327064,224,0.035883561
1599327070,225,0.036427535
1599327075,226,0.035829306
1599327081,227,0.035659093
1599327087,228,0.036722586
1599327092,229,0.036994774
1599327098,230,0.036061887
1599327105,231,0.034895968
1599327111,232,0.035529912
1599327117,233,0.037800964
1599327122,234,0.036082972
1599327128,235,0.035926927
1599327134,236,0.035348345
1599327140,237,0.035152659
1599327145,238,0.038138654
1599327151,239,0.034061033
1599327157,240,0.03581031
1599327164,241,0.03502094
1599327170,242,0.035630558
1599327176,243,0.03520653
1599327181,244,0.03612414
1599327187,245,0.036131762
1599327193,246,0.035484936
1599327199,247,0.032880679
1599327204,248,0.035667934
1599327210,249,0.049026024
1599327216,250,0.037804611
1599327223,251,0.035784967
1599327229,252,0.035116296
1599327235,253,0.033929992
1599327241,254,0.035861999
1599327246,255,0.036913637
1599327252,256,0.036287516
1599327258,257,0.035836373
1599327264,258,0.034982353
1599327270,259,0.033242594
1599327275,260,0.03446893
1599327282,261,0.037758403
1599327288,262,0.037040208
1599327294,263,0.036841612
1599327300,264,0.034709841
